 ,IMPORT REPORT,,,23-Jan,,,,,,,,
,,,,,,,,,,,,
,CONKEN 4 TRUCKS,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
11,T123 DYY,T958DYY,NAKONDE-ZMB,ENROUTE KOLWEZI,FLATBED,NA,18,05-Jan,23-Jan,,,
12,T724 EET,T584 EEN,NAKONDE-ZMB,ENROUTE KOLWEZI,FLATBED,NA,24,30-Dec,23-Jan,,,
13,T606 EDD,T966 EDK,NAKONDE-ZMB,ENROUTE KOLWEZI,FLATBED,NA,21,02-Jan,23-Jan,,,
14,T664 ECQ,T580 ECC,NAKONDE-ZMB,ENROUTE KOLWEZI,FLATBED,NA,19,04-Jan,23-Jan,,,
15,T604 EDD,T306 DWL,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,17,06-Jan,23-Jan,,,
16,T697 DXY,T361 DYC,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,14,09-Jan,23-Jan,,,
17,T216 ELV,T625 EMF,MOROGORO-TZ,ENROUTE KOLWEZI,FLATBED,NA,14,09-Jan,23-Jan,,,
,,,,,,,,,,,,
,RELOAD 4TRUCKS DSM-KOLWEZI,,,ZHANFEI,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T572 EAF,T917 DZS,NAKONDE-ZMB,ENROUTE KOLWEZI,FLATBED,NA,18,05-Jan,23-Jan,,,
2,T711 DXY,T402 DYC,NAKONDE-ZMB,ENROUTE KOLWEZI,FLATBED,NA,19,04-Jan,23-Jan,,,
3,T679 EAQ,T899 EAK,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,17,06-Jan,23-Jan,,,
4,T125 DYY,T979DYY,TUNDUMA-TZ,WAITING TO CROSS,FLATBED,NA,18,05-Jan,23-Jan,,,
,,,,,,,,,,,,
,RELOAD 3 TRUCKS DSM-TFM,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T149 EFP,T599 EGS,ISOKA-ZMB,ENROUTE TFM,FLATBED,NA,15,08-Jan,23-Jan,,,
2,T533 EEQ,T722 EEM,NAKONDE-ZMB,ENROUTE TFM,FLATBED,NA,17,06-Jan,23-Jan,,,
3,T594 EDD,T964 EDK,NAKONDE-ZMB,ENROUTE TFM,FLATBED,NA,17,06-Jan,23-Jan,,,
,,,,,,,,,,,,
,POSEIDON 126MT DSM-COMIKA,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T714 EHJ,T590 EEN,SHIWANGAMU-ZMB,ENROUTE COMICKA,FLATBED,NA,18,05-Jan,23-Jan,,,
2,T126 EFP,T596 EGS,NAKONDE-ZMB,ENROUTE COMICKA,FLATBED,NA,18,05-Jan,23-Jan,,,
3,T665 ECQ,T581ECC,NAKONDE-ZMB,ENROUTE COMICKA,FLATBED,NA,18,05-Jan,23-Jan,,,
4,T517 EEQ,T727 EEM,MAFINGA-TZ,ENROUTE COMICKA,FLATBED,NA,18,05-Jan,23-Jan,,,
,,,,,,,,,,,,
,POSEIDON 414MT DSM-KFM KOLWEZI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
